dataset,XGBOOST,XGBOOST_SMOTE,SVC_SMOTE,SVC_WEIGHTED,AdasynSVC,Adacost,SelfPaced,OC_TABNET_ENSEMBLE_CROSSENTROPYLOSS
synthetic_01,,,,,0.0,0.606538403246076,,
synthetic_02,,,,,0.0,0.5696975770503883,0.4750455759816893,
synthetic_03,,,,,0.0,0.1779282051288173,0.4548992338527066,
abalone_3_vs_11,1.0,0.9968829261209263,0.8203222737790957,0.8203222737790957,0,1.0,1.0,0.9854406188071314
abalone_9_vs_18,0.6275872113357635,0.6933406346307355,0.4744661793886146,0.0,0.7166200413299473,0.746306215981501,0.7658628311977533,0.7967921906124489
abalone_19_vs_10_11_12_13,0.11547005383792515,0.6794451498750338,0.3415516315388076,0.0,0.468314955915938,0.7069267317273262,0.7322916309290715,0.7020911870915967
abalone_20_vs_8_9_10,0.46858118415250366,0.8507565090068274,0.40362536655594183,0.0,0.5405556549928925,0.8414620597534018,0.8969939518413046,0.8936713246562487
white_9_vs_4,0.6,0.6,0.8,0.8,0.4,0.7455260556793469,0.7622730812451785,0.9260815945267374
white_3_vs_7,0.27320508075688776,0.6981311018783424,0.6108781172651834,0.5828427124746189,0.0,0.7405577525304619,0.7692519887774953,0.8548419728226179
red_8_vs_6,0.3309401076758503,0.8444847124184676,0.7407170896795872,0.4122551014518881,0.41428813667017594,0.8031986063191578,0.8818686996051179,0.861834722024548
red_3_vs_5,0.0,0.46931940807167133,0.33489751606712503,0.0,0.0,0.6258763485403434,0.606533083241491,0.5913897952676969
ecoli_0_vs_1,0.9794082238661117,0.9830761376296862,0.9864367132317184,0.9864367132317184,0.9791615355636047,0.9864367132317184,0.9864367132317184,0.9664910932048087
ecoli_0_4_6_vs_5,0.8610365985079728,0.9088365222077076,0.9094440604681994,0.8903977550366566,0.8854464817884331,0.9111539788274996,0.9091078811972799,0.9369659272609706
ecoli_0_3_4_vs_5,0.8610365985079728,0.9143953337164227,0.9143953337164227,0.9119727657255282,0.8879751870457622,0.9194182850466801,0.9074285099583264,0.9331388036131237
ecoli_0_2_3_4_vs_5,0.885474876229647,0.9416968784708997,0.9121046186644414,0.8878315177510849,0.8880411135152186,0.9174765104267625,0.9416968784708997,0.9282723984622443
glass_2,0.4709089525851485,0.7839953179940282,0.7666574593934301,0.6228271157004732,0.7683784320891549,0.7967840304505796,0.8567575989389502,0.9117800974978293
glass_4,0.6680199886084,0.9537594274585188,0.5917236004427104,0.9558135886780932,0.5917236004427104,0.9308063461321379,0.9481349630283559,0.9593421263967363
glass_5,0.6,0.7389672755672274,0.682842712474619,0.9365131948971452,0.682842712474619,0.9470644815861814,0.9926068854092565,0.9777268431745089
glass_0_1_6_vs_5,0.6222291229620529,0.7327451708501868,0.6242640687119285,0.8750520709684084,0.6242640687119285,0.9942443042436648,0.9913664563654974,0.9768046963500453
yeast_3,0.8744169211193231,0.9351856348031165,0.8818055241976399,0.9252829825815878,0.8824512588655719,0.9295380087609555,0.9074432309141702,0.9138389020621492
yeast_4,0.537825664455827,0.7802581959773789,0.5283367520318987,0.5589173578663373,0.6218547888410978,0.8404972301293201,0.8154391402541563,0.8777992117443546
yeast_5,0.8486252552111349,0.955751766804943,0.9072377365448299,0.973238167575464,0.884769902305587,0.949391402796904,0.9698472091134294,0.9803484587337342
yeast_6,0.6459583255076138,0.8289708498144421,0.7775451164888888,0.7476503842873192,0.7365898871627794,0.8167994694904397,0.8802607586150124,0.8772611391021833
