ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
21.8,95.3,9.74,0.06,1.12,1.21,162.7,122.36,115.63,10.94,0.77,3.37,4.37,44.09,77.13,35.72,2.36,0.0,9.97,35.46,1
0.47,-15.52,1.13,0.01,0.77,0.77,874.08,680.2,888.24,,1.03,-34.0,-33.03,16.51,103.03,0.46,,0.0,38.53,93.87,1
-0.6,-9.97,-5.8,0.0,0.54,1.68,3519.67,958.89,980.83,2080.45,0.81,13.55,16.63,-0.33,93.99,-0.23,2.69,38.36,2.6,23.61,1
221.18,-7.89,,0.01,0.03,0.03,,,,,29.02,-1.04,-0.04,221.11,2901.95,7.62,,0.0,,-0.07,1
2.76,59.54,2.65,0.02,1.04,1.04,350.09,320.74,312.51,,0.95,20.61,21.61,7.72,95.37,3.77,1.63,1.2,4.78,51.54,1
-8.87,222.38,-4.79,0.06,1.15,1.16,196.69,170.64,157.18,1.43,1.04,-26.08,-25.08,0.17,103.99,-7.1,-0.51,4.01,4.88,164.84,1
3.62,63.42,3.05,0.2,1.06,1.06,307.03,245.22,283.81,,0.94,16.54,17.54,21.31,94.3,5.81,15.66,0.0,14.92,75.98,1
1.06,12.84,0.78,0.07,0.88,0.89,269.37,193.53,209.52,1.56,0.92,11.15,12.15,11.54,91.77,4.33,0.48,12.15,7.76,59.92,1
-4.4,-57.17,-6.77,0.04,0.98,0.99,559.81,353.22,274.74,7.13,0.92,11.99,12.99,9.75,92.3,-1.72,1.96,28.15,21.76,94.8,1
-30.75,102.93,-10.59,0.0,0.79,0.79,125.39,123.72,156.33,0.0,1.3,-4.35,-3.35,125.92,129.87,-23.67,,0.0,53.97,127.34,1
-6.48,-123.14,-3.97,0.05,0.84,0.85,222.97,98.25,150.74,1.34,0.88,16.8,19.01,19.86,94.74,-0.4,0.58,0.0,16.13,76.59,1
-62.78,106.43,-47.31,0.45,0.48,0.52,274.29,10.88,348.33,13.53,1.59,-2.7,-1.7,10.18,158.99,-30.3,-0.93,0.0,54.98,190.12,1
7.3,51.46,6.16,0.0,1.03,1.06,307.11,230.01,244.35,7.08,0.86,6.05,7.05,14.76,85.82,15.51,1.34,1.74,6.29,40.79,1
-6.22,33.17,-22.45,0.0,0.84,0.84,1314.52,1292.98,1543.73,,1.19,-6.33,-5.33,-5.76,118.75,-4.84,-50.27,0.0,1.64,-9.14,1
-6.1,-55.3,-7.08,0.02,0.56,0.8,422.4,199.41,168.3,87.57,0.89,8.06,9.06,0.99,88.96,1.43,0.38,48.27,8.24,29.42,1
-3.92,-8.92,-3.39,0.01,1.5,1.66,314.48,252.81,166.03,27.24,0.56,1.27,2.28,9.52,56.05,-4.65,4.91,1.23,11.61,103.46,1
-24.38,44.07,-16.49,0.19,0.41,0.56,246.27,84.39,377.77,56.91,1.55,-2.81,-1.81,13.24,155.32,-11.99,-4.3,0.0,25.45,197.67,1
1.47,18.66,1.15,0.04,1.11,1.12,286.59,231.36,201.29,1.13,0.92,11.72,12.73,12.68,92.14,2.87,1.51,6.16,8.83,75.49,1
8.13,32.61,3.41,0.0,0.77,0.78,152.57,75.09,77.54,1.53,0.75,2.99,4.01,42.31,75.07,19.07,0.62,17.04,14.33,63.32,1
-34.46,-2464.25,-13.29,0.17,0.57,0.72,140.38,48.56,110.36,17.2,0.99,70.52,71.52,-7.21,98.6,-27.0,0.36,6.69,10.51,455.41,1
2.98,30.29,1.58,0.02,0.84,0.84,193.28,91.77,113.09,0.1,1.06,10.78,10.18,3.69,90.17,4.32,0.2,0.0,0.38,21.26,1
0.09,32.53,0.04,0.08,0.62,0.92,162.14,82.78,141.64,46.28,1.0,355.57,356.57,3.11,99.72,1.75,1.01,11.2,1.35,62.46,1
-14.03,-38.23,-3.63,0.06,0.78,1.16,94.22,36.29,37.38,19.78,0.61,1.65,2.72,3.99,63.29,-13.89,1.11,14.44,4.67,63.84,1
-3.81,-36.66,-1.59,0.01,0.7,1.12,151.61,83.86,107.28,52.92,0.9,8.63,9.63,36.22,89.61,-0.3,1.96,10.29,16.67,96.64,1
1.98,6.14,3.11,0.01,1.1,1.11,572.66,333.57,239.93,5.26,0.68,2.11,3.11,9.17,67.8,5.11,1.22,22.32,11.32,55.76,1
