ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT
-0.21,-1.4,-0.28,0.01,0.77,0.82,487.88,165.78,218.23,10.21,47.37,319.44,6.74,19.37,47.37,46.64,0.24,0.0,18.69,57.64,2.8,12.78,3.26,0.04,0.46,0.48,424.27,80.28,191.38,4.38,48.67,222.31,4.57,29.68,48.67,64.83,0.29,0.0,22.32,48.61,1
,,,,,,,,,,,,,,,,,,,,-885.79,36.84,,0.01,0.04,0.04,27.97,23.14,688.33,,2504.34,-104.16,-0.04,1298.54,2504.34,-35.37,,0.0,125.46,125.72,1
-5.59,-20.57,-2.89,0.04,0.51,1.1,188.39,14.58,88.22,58.07,0.73,2.68,3.68,47.91,72.83,1.63,1.08,12.66,19.89,66.31,-21.52,-252.89,-18.1,0.06,0.46,0.91,306.25,21.22,176.24,92.05,0.91,10.75,11.75,18.22,91.49,-13.0,0.78,22.15,24.66,109.61,1
0.33,0.59,0.3,0.05,0.2,1.09,334.72,13.34,72.72,80.66,0.44,0.8,1.8,28.16,44.32,22.77,1.02,5.39,17.98,48.35,-52.57,-184.29,-85.81,0.0,0.09,0.21,594.09,24.83,300.59,35.93,0.71,2.51,3.51,-25.34,71.47,-46.38,0.54,0.0,29.32,166.78,1
-11.59,-52.3,-7.99,0.0,1.01,1.27,251.03,194.45,193.15,50.41,77.84,351.33,4.51,-10.7,77.84,-11.63,22.48,0.0,0.42,-23.74,-6.95,-65.49,-17.44,0.0,1.0,1.11,913.12,798.14,804.79,88.73,89.13,839.62,9.42,-6.71,89.13,-1.66,7.13,0.0,0.44,82.66,1
-61.77,-88.8,-102.39,0.53,3.37,3.37,603.34,502.38,176.78,,0.3,0.44,1.44,-1.74,30.43,-190.89,,0.0,71.08,1125.18,-672.51,292.14,-176.72,0.04,0.22,0.22,95.65,58.55,310.72,,3.3,-1.43,-0.43,-308.86,330.2,-202.07,-8.67,0.0,67.6,815.92,1
-21.7,139.37,-44.96,0.07,0.11,0.21,754.16,15.44,313.79,38.62,1.16,-7.42,-6.42,-12.45,115.57,-6.81,0.54,30.26,14.08,71.87,-21.86,48.78,-71.6,0.0,0.06,0.09,1192.4,58.74,954.08,39.2,1.45,-3.23,-2.23,-16.72,144.81,-5.79,0.03,35.01,12.3,82.31,1
-103.11,67.34,-62.7,0.0,0.27,0.37,221.35,147.51,546.09,54.3,2.53,-1.65,-0.65,-8.02,253.12,-39.35,-19.9,0.0,40.51,370.74,-93.15,40.17,-77.67,,0.12,0.21,303.53,115.63,979.43,88.6,3.32,-1.43,-0.43,-13.13,331.86,-26.24,-7.2,0.05,46.58,-1354.15,1
-2.65,-1174.81,-2.01,0.07,1.01,1.02,276.07,227.7,208.52,1.89,1.0,442.31,443.31,9.68,99.77,-0.65,1.27,20.48,6.43,64.14,-0.85,-902.99,-1.17,0.01,1.0,1.01,501.96,433.29,490.32,3.73,1.0,1058.79,1059.79,10.48,99.91,-0.54,,0.07,10.95,103.09,1
-40.46,298.19,-84.23,0.02,0.66,0.75,757.84,462.25,714.95,62.63,113.57,-837.03,-7.37,-17.75,113.57,-34.45,-0.49,0.0,34.85,72.01,-16.9,48.72,-19.38,0.01,0.55,0.59,417.33,254.19,468.63,18.09,134.61,-388.1,-2.88,8.58,134.61,-11.51,-1.02,0.04,21.19,179.5,1
-36.45,145.26,-19.19,0.0,0.15,0.45,191.68,23.84,142.59,49.6,1.25,-4.99,-3.99,73.36,125.09,-23.87,0.19,22.71,42.35,93.66,-96.06,77.73,-40.6,0.0,0.16,0.23,153.83,39.34,248.09,18.05,2.24,-1.81,-0.81,44.14,223.59,-38.78,-1.34,19.48,43.14,153.21,1
-152.81,13939.18,-21.02,-0.54,0.24,0.3,50.08,35.55,45.65,3.15,1.01,-92.22,-91.22,192.23,101.1,-118.23,0.0,0.0,33.87,104.66,-190.23,98.78,-16.78,0.01,0.12,0.13,32.1,10.09,92.8,0.52,2.93,-1.52,-0.52,313.2,292.58,-46.55,-3.09,0.0,31.93,95.99,1
-12.01,-43.4,-518.62,0.02,0.35,0.44,15714.54,415.08,1884.31,173.24,17.13,61.89,3.61,-9.22,17.13,8.41,0.31,0.0,84.72,-62.33,-20.11,-142.47,-2278.68,0.0,0.31,0.31,41255.12,3476.97,11254.0,21.7,32.34,229.15,7.09,-19.64,32.34,-11.1,0.16,0.0,33.75,-83.83,1
-20.7,130.57,-71.29,0.0,0.81,0.83,1253.73,1143.12,1331.74,29.08,115.85,-730.85,-6.31,-7.71,115.85,-17.03,-2.79,6.77,30.05,-606.62,-15.0,6.6,,0.0,0.29,0.29,24184.46,22259.77,75828.46,,327.33,-143.99,-0.44,-11.29,327.33,-4.46,-34.15,9.65,141.73,-371.42,1
